,,/身長体重,身長(cm),身長(cm),身長(cm),体重(kg),体重(kg),体重(kg),身長(cm),身長(cm),身長(cm),体重(kg),体重(kg),体重(kg)
時間軸(年次),年齢階級,/表章項目,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差,人数【人】,平均値,標準偏差
2017年,21歳,,16,171.9,4.8,16,67.3,11.8,15,158.9,4.8,15,52.4,5.7
2017年,22歳,,8,173.7,7.4,8,67,9.6,9,158.3,5.1,9,50.2,7.2
2017年,23歳,,18,171.5,6,18,73.3,17.1,17,158.3,5.7,16,50.7,7.8
2017年,24歳,,19,171.8,6.8,19,65,7.8,16,157.5,5.9,15,50,8
2017年,25歳,,26,170.9,6.5,26,67.6,13,18,157.9,4.2,17,50.3,5.9
2017年,26歳-29歳,,58,171,5.8,57,69.5,14,65,157.7,4.9,62,52.5,11
2017年,30歳-39歳,,257,171.2,5.5,253,71,13.1,282,158.6,6,262,54.4,9.8
2017年,40歳-49歳,,374,171.2,6,373,71.3,12.5,440,158.2,5.4,436,55.8,10
2017年,50歳-59歳,,342,170.2,6,341,69.2,10.7,407,156.7,5.2,406,55.4,9.5
2017年,60歳-69歳,,505,167.3,5.8,505,67.2,10.1,580,153.9,5.3,577,54.7,8.8
2017年,70歳以上,,697,162.5,6.3,697,61.7,9,874,148.9,6.2,873,51,8.7
2017年,（再掲）20歳以上,,"2,340",167.6,7,"2,333",67,11.5,"2,746",154.1,6.9,"2,711",53.6,9.4
2017年,（再掲）20歳-29歳,,165,171.4,5.8,164,68.1,12.8,163,157.5,5.4,157,51.3,9
2017年,（再掲）60歳-64歳,,224,168.1,5.5,224,68.9,9.7,264,154.8,5.1,263,55,8.9
2017年,（再掲）65歳-69歳,,281,166.6,5.9,281,65.9,10.3,316,153.1,5.3,314,54.5,8.7
2017年,（再掲）70歳-74歳,,269,164.4,5.9,269,63.2,9.1,342,150.7,5.8,342,52.4,9.1
2017年,（再掲）75歳-79歳,,214,162.4,6,214,62.5,8.9,256,149.4,5.9,256,51.6,8.3
2017年,（再掲）80歳以上,,214,160.2,6.4,214,59,8.3,276,146.3,6,275,48.7,8.1
2016年,総数,,"10,145",162.5,16.5,"10,125",61.7,16,"12,062",151,13.1,"11,978",50.3,11.8
2016年,1歳,,74,79,5,77,10.5,1.6,84,78.3,5.1,85,9.9,1.1
2016年,2歳,,54,87.9,3.8,54,12.1,1.2,67,87.8,3.8,69,11.9,1.4
2016年,3歳,,83,95.1,3.8,86,14.2,1.5,84,94.6,4.3,84,14.1,1.5
2016年,4歳,,82,101.3,3.6,82,15.7,1.4,80,101.5,4.5,81,15.7,1.5
2016年,5歳,,95,108.2,5.2,95,18.2,2.7,110,108.3,4.2,110,18.1,2.4
2016年,6歳,,93,114.8,5.1,93,20.4,2.5,94,116.6,5.2,96,21.4,3.4
2016年,7歳,,98,123.2,5.2,98,24,3.7,89,121.6,3.9,89,23.3,3.2
2016年,8歳,,110,128.2,5.1,110,26.8,4.7,103,126.1,5,105,26.1,4
2016年,9歳,,86,133.7,5.5,87,31.2,7.3,108,134.4,6,109,30.4,5.6
2016年,10歳,,94,138.3,6.4,96,33.3,5.9,89,139.8,6.9,88,33.4,6.2
2016年,11歳,,93,144.7,7.6,93,37.7,8.4,85,146,6.6,85,38.5,7.4
2016年,12歳,,99,150.8,8.6,98,42.1,8.9,78,151.1,5,77,41.2,5.9
2016年,13歳,,111,160.3,7.9,111,48.9,7.5,93,154.1,5.1,92,45.5,6.8
2016年,14歳,,94,164.3,5.8,92,51.8,8.6,80,156.8,4.6,80,47.7,5.9
2016年,15歳,,87,168.6,4.5,85,56.5,7,71,156.8,5.3,69,47.7,6.4
2016年,16歳,,80,170.4,5.9,78,60.1,12.1,80,157.4,5.8,80,51.2,6.3
2016年,17歳,,78,170.3,5.4,76,63.1,8.4,85,157.3,6.2,84,50,5.8
2016年,18歳,,78,170.3,5.3,78,60.8,8.7,59,157.5,6.9,56,50.7,8.6
2016年,19歳,,59,171.3,5.1,59,62.6,10.1,58,155.9,4.9,55,50.8,6.5
2016年,20歳,,46,172.3,6.9,46,65.7,11.1,56,159.5,5,53,53.5,6.6
2016年,21歳,,53,172,5,52,66.1,14.9,56,157.9,6.6,54,50.9,7
2016年,22歳,,57,170.2,7.9,57,66.5,12.4,70,158.5,6.5,69,53.6,10.5
2016年,23歳,,50,171.4,5.9,50,69.2,12.1,58,157.4,5.3,58,51.8,11.4
2016年,24歳,,64,173,5.1,62,69.9,11.8,59,157.3,6.7,58,52.1,9.3
2016年,25歳,,48,170.5,5,47,64.5,12.3,56,155.2,5,56,50.2,6.7
2016年,26歳-29歳,,256,171.4,5.5,255,68.3,12.4,271,158.8,5.1,268,52.8,8.7
2016年,30歳-39歳,,984,171.5,5.6,978,69.2,11.1,"1,129",158.1,5.1,"1,125",53.6,8.4
2016年,40歳-49歳,,"1,314",171.4,5.4,"1,308",70.9,11.4,"1,549",157.9,5.3,"1,539",55.5,9.8
2016年,50歳-59歳,,"1,229",169.8,5.4,"1,226",69.7,10,"1,580",156.7,4.9,"1,576",55.2,8.7
2016年,60歳-69歳,,"2,037",167,5.4,"2,033",66.6,9,"2,444",153.4,4.8,"2,443",53.9,7.8
2016年,70歳以上,,"2,359",162.1,5.8,"2,363",61.6,9,"3,078",148.8,5.7,"3,085",50.5,8.2
2016年,（再掲）20歳以上,,"8,497",167.7,6.6,"8,477",66.8,10.6,"10,406",154.1,6.3,"10,384",53.2,8.7
2016年,（再掲）20歳-29歳,,574,171.5,5.9,569,67.6,12.5,626,158.1,5.7,616,52.3,8.8
2016年,（再掲）60歳-64歳,,864,167.9,5.2,863,67.3,8.3,"1,048",154.5,4.9,"1,047",54.5,8.1
2016年,（再掲）65歳-69歳,,"1,173",166.4,5.4,"1,170",66,9.4,"1,396",152.6,4.7,"1,396",53.4,7.5
2016年,（再掲）70歳-74歳,,862,164,5.6,863,64.5,8.7,"1,045",151.2,4.8,"1,044",52.6,7.5
2016年,（再掲）75歳-79歳,,726,162.4,5.4,726,61.9,8.7,908,149.4,5.1,911,51,8.1
2016年,（再掲）80歳以上,,771,159.6,5.7,774,58.1,8.5,"1,125",146.1,6,"1,130",48,8.2
2015年,総数,,"3,045",161.7,18.6,"3,033",60.8,17.8,"3,576",151.1,14,"3,552",50,12.4
2015年,1歳,,20,77.8,5.2,20,10.1,0.9,27,78.4,4.1,28,10,1.3
2015年,2歳,,24,88.7,3.6,24,12.5,0.9,19,87.2,4.7,19,12.1,0.9
2015年,3歳,,28,96.7,5,28,14.3,1.5,20,96.2,4.3,20,14.1,1.7
2015年,4歳,,46,103.2,4.6,46,16.6,2.2,23,101.2,3.8,23,15.6,1.5
2015年,5歳,,24,110.9,4.5,24,18.7,2.4,30,108.3,5,30,17.2,2.6
2015年,6歳,,34,115.3,3.5,34,20.5,2.9,30,113.1,6,30,20.2,3.6
2015年,7歳,,29,121.6,5.7,29,23.4,4.4,20,121.1,4.7,20,22,3.7
2015年,8歳,,29,127.4,4.4,29,25.9,4.2,43,127.1,5.5,43,25.4,4
2015年,9歳,,23,133.6,6.4,23,29.6,6.2,39,133.1,7.4,39,29.9,6.6
2015年,10歳,,32,137.3,6.5,32,32.7,6.2,17,138.5,5.6,17,32.6,6.6
2015年,11歳,,41,145.7,6.6,41,38,8.4,33,146.8,7.2,33,38,6.6
2015年,12歳,,39,152.3,7.5,39,42.9,11.5,33,150.8,5.5,33,39.7,6.4
2015年,13歳,,31,159.3,7,30,47.6,9.4,31,155.5,5.8,31,46.1,6.2
2015年,14歳,,35,164.3,5.6,35,51.2,5.8,26,157.2,6.6,26,47.2,6.4
2015年,15歳,,31,167.5,5.1,30,55.6,8.2,31,155.9,4.9,31,48.1,6.3
2015年,16歳,,25,168.9,7.3,25,58.2,7.3,22,157.8,5.5,22,50.5,7
2015年,17歳,,25,172.4,6.7,25,64.6,15.5,31,155,4.9,31,49.6,7.3
2015年,18歳,,22,170.5,7.7,22,60.7,9,17,158.8,5.3,16,53.4,4.4
2015年,19歳,,19,174.9,6.1,19,68,11.5,16,157,5,16,50.5,10.9
2015年,20歳,,15,173.2,4.8,13,64.6,7.1,22,156.4,4.4,22,50,7
2015年,21歳,,14,170.7,9.1,14,68.5,14.7,19,156.6,6.4,18,50.2,9.2
2015年,22歳,,13,170.7,10.5,12,66.1,16.1,20,158.1,6.6,20,51,6.9
2015年,23歳,,20,172.9,5.8,20,71.3,16.5,21,156.1,5.5,20,52.5,9.7
2015年,24歳,,15,171.3,5.8,14,64.1,13.7,12,159.5,4.2,12,51.5,8
2015年,25歳,,13,170.9,6.7,13,61.1,12.7,26,160.4,5.6,26,53.1,8.9
2015年,26歳-29歳,,83,171.7,6,83,70.3,13.2,93,159,5.7,88,53.1,10.2
2015年,30歳-39歳,,296,172,6,295,71.2,14,332,158.2,5.9,316,52,7.1
2015年,40歳-49歳,,378,170.8,5.4,375,70.6,11.8,535,158,5.5,531,55.5,10.1
2015年,50歳-59歳,,374,169.2,5.9,373,68.1,10.3,476,156.6,5.1,476,55,9.9
2015年,60歳-69歳,,585,167,5.8,585,66.3,9.8,701,153.3,5.4,700,53.3,8
2015年,70歳以上,,682,162,6.4,681,61,9.4,811,148.5,6.7,815,50.3,8.8
2015年,（再掲）20歳以上,,"2,488",167.5,7.1,"2,478",66.5,11.6,"3,068",154.2,7,"3,044",52.9,9.1
2015年,（再掲）20歳-29歳,,173,171.7,6.6,169,68.3,13.8,213,158.3,5.7,206,52.2,9.2
2015年,（再掲）60歳-64歳,,264,167.2,6,264,66.7,10.4,317,154,5.4,316,53.3,7.7
2015年,（再掲）65歳-69歳,,321,166.7,5.7,321,65.9,9.2,384,152.6,5.3,384,53.3,8.4
2015年,（再掲）70歳-74歳,,262,163.8,5.9,262,63.1,8.7,283,151.2,5.7,283,52.6,8.4
2015年,（再掲）75歳-79歳,,202,162.9,5.4,202,62.4,9.6,248,149.3,6.1,249,51.5,8.6
2015年,（再掲）80歳以上,,218,159,6.8,217,57,8.8,280,145,6.8,283,47,8.5
2014年,総数,,"3,310",162.2,17.6,"3,305",60.9,16.9,"3,788",151,13.6,"3,761",50.4,12.4
2014年,1歳,,25,80.2,4.5,25,10.7,1.4,24,77.4,2.9,25,9.9,0.9
2014年,2歳,,23,87.5,4,23,12.3,1.1,28,85.8,4.9,29,11.9,1.5
2014年,3歳,,23,96.2,3,23,14.3,1.5,22,96.2,5.3,22,14.2,2.2
2014年,4歳,,23,102,3.6,23,16.2,1.8,26,103.7,3.3,26,16.2,1.9
2014年,5歳,,33,110.1,6.1,33,18.6,2.7,18,107.8,5.4,18,17.6,2.4
2014年,6歳,,31,117.4,6,31,21,2.9,27,114.4,4.3,27,19.8,2.5
2014年,7歳,,41,122,6,41,23.7,5.1,22,119.3,5.4,23,21.8,2.6
2014年,8歳,,34,126.3,5.2,34,25.7,4.7,33,125.7,6,33,24.7,4.4
2014年,9歳,,20,134.6,6.4,21,28.7,5.7,33,133.7,6.2,33,30.3,6.9
2014年,10歳,,38,139.2,7.2,39,34.4,6.5,37,139.3,7.1,37,32.7,5.8
2014年,11歳,,21,145.1,7.3,20,36.7,8.8,35,146.8,5.9,36,36.3,5.4
2014年,12歳,,34,152.6,7.2,34,43.8,8.8,28,150.8,6.1,28,43,8.4
2014年,13歳,,39,158.1,8.4,39,49.5,12.2,33,155.2,4.8,33,44.1,5.8
2014年,14歳,,42,164.1,6,42,53.1,7.8,36,156.4,4.4,35,48.6,6.2
2014年,15歳,,29,165.6,7.6,29,55.3,13.5,31,155.8,5,31,49,6
2014年,16歳,,23,169.4,5.1,23,56.4,8,28,158.7,4.5,28,52.6,5.9
2014年,17歳,,22,170.9,5.2,22,59.4,8.8,29,156.1,4.3,29,50.6,6.1
2014年,18歳,,28,172.1,6.4,26,64.3,11.7,29,157.3,4.4,29,49.5,6.4
2014年,19歳,,30,172.4,6.8,30,66.9,14.1,23,155.9,4.5,23,49.5,5.7
2014年,20歳,,18,171.8,7.8,18,61.8,9.3,27,158.3,5.2,27,51.7,7.3
2014年,21歳,,18,171.4,6,18,65.5,15.6,18,158.5,5,18,50.5,8.4
2014年,22歳,,21,172.6,5.2,21,64.3,14.5,28,156.1,5.4,28,48.9,6.1
2014年,23歳,,18,170.9,6.6,18,65,9.4,15,157.4,5,15,53.2,9.2
2014年,24歳,,18,172.9,6.3,18,69.4,16.5,26,157.9,6.1,25,51.5,7.4
2014年,25歳,,18,173.7,4.4,18,71.3,20.3,19,159.6,5.4,19,54.8,8
2014年,26歳-29歳,,66,172,5.5,66,66.6,10.4,103,157.8,5.3,98,53.9,11.5
2014年,30歳-39歳,,325,171.5,5.8,323,69.2,12,367,158.3,5.1,353,54.6,9.9
2014年,40歳-49歳,,390,171,5.6,388,70.4,11.5,477,158,5.2,470,55.3,9.3
2014年,50歳-59歳,,425,169.4,5.7,425,68.8,10.3,515,156.2,5.2,514,55.2,9
2014年,60歳-69歳,,664,166.1,6.1,664,65.3,9.7,750,153.2,5.4,750,53.5,8.7
2014年,70歳以上,,770,161.9,6.3,770,60.7,9.4,901,148.3,6.2,899,50.1,8.7
2014年,（再掲）20歳以上,,"2,751",167.2,7.1,"2,747",65.8,11.1,"3,246",153.9,6.8,"3,216",53.2,9.3
2014年,（再掲）20歳-29歳,,177,172.1,5.9,177,66.3,13.3,236,157.8,5.4,230,52.5,9.5
2014年,（再掲）60歳-64歳,,295,166.8,5.8,295,65.8,9.6,368,153.8,5.4,368,53.7,9
2014年,（再掲）65歳-69歳,,369,165.5,6.3,369,64.8,9.7,382,152.6,5.2,382,53.4,8.3
2014年,（再掲）70歳-74歳,,295,163.6,5.6,296,62.3,9.4,351,150.6,5.4,351,51,8.3
2014年,（再掲）75歳-79歳,,242,161.9,6.3,242,61.5,9,249,148.8,5.5,248,51.9,8.6
2014年,（再掲）80歳以上,,233,159.7,6.4,232,58,9.3,301,145,6.3,300,47.7,8.8
2013年,総数,,"3,322",161.5,18.6,"3,315",60.4,17.2,"3,783",150.9,13.8,"3,738",50.1,12.5
2013年,1歳,,34,78.1,4.9,35,10.4,1.4,24,77.7,4.9,24,9.7,1.2
2013年,2歳,,22,88.2,4.7,22,12.4,1.8,20,89.9,6.9,20,12.5,1.5
2013年,3歳,,24,95.4,4.7,24,14,1.8,21,94.1,5.2,21,13.6,1.4
2013年,4歳,,33,102.8,5.2,33,16.3,2.1,31,101.8,4.3,31,15.7,1.6
2013年,5歳,,36,110,6.4,36,18.7,3.3,32,109.3,5.6,32,18.5,3.5
2013年,6歳,,29,114.6,5.7,29,20.4,3.7,34,115.4,4.7,34,20.9,3.3
2013年,7歳,,38,121,6,39,23.3,3.8,35,120.8,5.5,35,23.2,4.1
2013年,8歳,,42,127,6,42,26.6,4.8,26,126.3,6.4,26,26,5.2
2013年,9歳,,28,132.6,7,28,29.6,6.2,31,132.9,5.6,31,30.7,6.6
2013年,10歳,,29,137.9,6.3,29,32.4,5.9,25,137,6.6,25,31.2,6.7
2013年,11歳,,31,145.5,7.2,31,38.2,9.2,40,146.2,6.3,38,37.2,7.4
2013年,12歳,,41,150.8,9.2,41,41.2,10.3,36,150.9,5.7,36,42.8,7
2013年,13歳,,34,160.2,8,34,49.9,8.8,28,153.2,4.8,27,43,6.7
2013年,14歳,,30,164,7.8,30,55.1,10.6,34,155.9,5.5,34,48.5,6.9
2013年,15歳,,23,168.8,6,23,58,11.6,27,157.9,4.7,27,48.6,6.2
2013年,16歳,,26,169.1,5,26,58.3,8.3,24,157.6,4.1,22,52.6,5.9
2013年,17歳,,36,169.8,5.7,35,59.5,9,20,158,5,20,51.4,7.2
2013年,18歳,,18,171.2,3.7,18,62,9.5,23,158.1,6,23,50.4,5.2
2013年,19歳,,20,169.6,3.6,20,60.2,12.2,29,158.9,4.8,28,52.7,7.1
2013年,20歳,,25,171.6,6.8,24,67.7,13.5,29,158.1,5.8,27,51.2,8
2013年,21歳,,22,172.5,5.1,22,63.6,8.9,21,155.5,6.1,20,50.9,8.8
2013年,22歳,,28,171.3,4.7,28,65,10.7,29,158.6,5.3,25,50.7,7.3
2013年,23歳,,23,168.3,6.1,22,62.1,11.4,13,154.9,6.2,13,50.1,9.7
2013年,24歳,,37,171.7,5.4,37,65.1,11.7,23,158.1,6.5,22,53.7,7.4
2013年,25歳,,26,171.4,6.5,26,64.7,10.5,27,159.8,4.7,26,54.3,11.4
2013年,26歳-29歳,,99,170.5,5.7,98,68.3,13.2,109,158,5,100,52.7,8.7
2013年,30歳-39歳,,327,170.8,6.1,327,68.3,12.3,403,158.3,5.6,392,53.7,10
2013年,40歳-49歳,,404,170.9,5.7,401,70.3,10.8,502,157.8,5.2,493,54.6,9.2
2013年,50歳-59歳,,398,169.5,5.7,396,68.7,11,459,155.9,5.2,457,55.2,10
2013年,60歳-69歳,,601,165.9,6.1,599,65,9.5,732,153.1,5.5,731,53.1,8.5
2013年,70歳以上,,758,162.2,6.1,760,61.4,9.2,896,148.2,6.5,898,50.4,8.8
2013年,（再掲）20歳以上,,"2,748",167.2,7,"2,740",65.8,10.9,"3,243",153.9,6.9,"3,204",52.9,9.3
2013年,（再掲）20歳-29歳,,260,170.9,5.8,257,66.1,12.1,251,157.9,5.5,233,52.3,8.8
2013年,（再掲）60歳-64歳,,290,166.7,6.2,290,65.4,9.5,342,154.2,5.4,342,53.4,8.2
